Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy
0,"2,42542","23,4047","0,871103","0,999408","0,000418054"
500,"0,336601","0,351648","0,91022","0,914395","0,693667"
1000,"0,222495","0,386469","0,754576","0,726538","0,76442"
1500,"0,223758","0,429279","0,929619","0,964505","0,555463"
2000,"0,248964","0,497043","0,920811","0,99375","0,326313"
2500,"0,214854","0,522763","0,552532","0,484399","0,821469"
3000,"0,243889","0,361233","0,743855","0,704342","0,785151"
3500,"0,383245","0,396731","0,786634","0,768253","0,718107"
4000,"0,361541","0,400968","0,895267","0,910501","0,624243"
4500,"0,362682","0,291904","0,850968","0,833041","0,758734"
5000,"0,198863","0,390159","0,750244","0,722569","0,758278"
5500,"0,348869","0,476489","0,928525","0,979582","0,46215"
6000,"0,214543","0,433988","0,914113","0,949037","0,553785"
6500,"0,285973","0,527736","0,911147","0,97093","0,410487"
7000,"0,262323","0,31363","0,879637","0,873894","0,725482"
7500,"0,143357","0,421229","0,885801","0,905208","0,600801"
8000,"0,186878","0,506025","0,834519","0,859543","0,54826"
8500,"0,115278","0,52593","0,911552","0,984154","0,352115"
9000,"0,167623","0,569307","0,493302","0,423082","0,811073"
9500,"0,138269","0,376551","0,888936","0,888927","0,704397"
10000,"0,239921","0,466811","0,922985","0,979814","0,412516"
10500,"0,245251","0,292855","0,8654","0,854301","0,745872"
11000,"0,144547","1,08011","0,865349","0,990539","0,0211424"
11500,"0,534636","0,539841","0,918772","0,993497","0,33221"
12000,"0,126002","0,370859","0,768037","0,739828","0,766962"
12500,"0,248273","0,387097","0,930181","0,960573","0,572103"
13000,"0,302567","0,478309","0,912651","0,963582","0,474905"
13500,"0,287618","0,548545","0,911479","0,99163","0,318877"
14000,"0,323224","0,379321","0,931007","0,963208","0,577603"
14500,"0,256479","0,612275","0,902236","0,995938","0,215691"
15000,"3,61886","0,359354","0,780877","0,751898","0,76318"
15500,"0,293988","0,598892","0,912777","0,990565","0,3239"
16000,"0,300575","0,632619","0,891918","0,998756","0,135866"
16500,"0,226053","0,471135","0,926925","0,981707","0,440679"
17000,"0,395068","0,463412","0,656433","0,603315","0,809104"
17500,"0,228383","0,730087","0,8001","0,892533","0,173783"
18000,"0,840202","0,596545","0,900335","0,997133","0,190881"
18500,"0,529474","0,373946","0,819542","0,803168","0,737421"
19000,"0,137611","0,470817","0,929282","0,981703","0,443134"
