Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy
0,1.08507,0.657198,1.62212e-06,1.91651e-06,0.0,2.44458e-07
250,0.760965,0.503072,0.728489,0.693035,0.508514,0.909243
500,0.457501,0.510475,0.750419,0.720932,0.628914,0.875149
750,0.65173,0.689458,0.6756,0.636335,0.742716,0.787653
1000,0.504296,0.57111,0.760295,0.736106,0.426704,0.890705
1250,0.475414,0.42858,0.795387,0.784753,0.544741,0.845799
1500,0.315331,0.439632,0.822202,0.811017,0.665043,0.830992
1750,0.458735,0.446235,0.696834,0.651388,0.748967,0.854153
2000,0.31813,0.631635,0.807965,0.789228,0.660748,0.862066
2250,0.398443,0.673496,0.697949,0.687386,0.752511,0.60064
2500,0.389212,0.431052,0.684851,0.642893,0.603389,0.887125
2750,0.409502,0.447765,0.771131,0.753743,0.733387,0.819628
3000,0.512113,0.453991,0.794374,0.770765,0.631987,0.864981
3250,0.453754,0.427805,0.76968,0.737297,0.671108,0.849941
3500,0.404098,0.528619,0.716115,0.675645,0.757207,0.84522
3750,0.543544,0.541491,0.81226,0.821621,0.656638,0.694576
4000,0.349151,0.529349,0.704806,0.694523,0.762713,0.696576
4250,0.343968,0.417188,0.838986,0.832323,0.524045,0.839272
4500,0.38699,0.411918,0.769725,0.739302,0.701378,0.878646
4750,0.403908,0.442521,0.790649,0.767372,0.688201,0.865874
5000,0.898715,0.406297,0.815314,0.801925,0.660373,0.81741
5250,0.388369,0.569323,0.814832,0.793378,0.668064,0.873531
5500,0.344732,0.436412,0.687232,0.679052,0.752765,0.631862
5750,0.462574,0.488464,0.788382,0.766223,0.68079,0.830452
6000,0.53231,0.436958,0.814094,0.796637,0.582001,0.877668
6250,0.477643,0.45678,0.777416,0.755126,0.704333,0.861113
6500,0.384469,0.4322,0.734222,0.696947,0.727351,0.85832
6750,0.294842,0.440635,0.796338,0.773434,0.648314,0.893966
7000,0.379243,0.57715,0.730645,0.696835,0.732558,0.855161
7250,0.385505,0.436998,0.699701,0.655733,0.577634,0.903687
7500,0.415163,0.457533,0.720085,0.672418,0.697944,0.896702
7750,0.320609,0.426889,0.769069,0.752495,0.710932,0.790206
8000,0.470157,0.445776,0.761415,0.725576,0.695176,0.892141
8250,0.368426,0.528058,0.800691,0.780403,0.640443,0.874721
8500,0.527218,0.419402,0.766401,0.747173,0.608286,0.789456
8750,0.288079,0.467285,0.841214,0.831061,0.650415,0.841741
9000,0.390038,0.431059,0.792073,0.7738,0.67339,0.859513
9250,0.445116,0.433282,0.737731,0.708369,0.754807,0.814456
9500,0.303755,0.616375,0.789541,0.769842,0.69589,0.830866
