Iteration,Training Loss,Test Loss,Test Accuracy,Class 0 Accuracy,Class 1 Accuracy,Class 2 Accuracy
0,1.28931,0.506608,1.20918e-06,1.28578e-06,4.89729e-07,1.14531e-06
500,0.45158,0.47788,0.654963,0.595634,0.747688,0.907204
1000,0.551858,0.387684,0.609434,0.532846,0.787617,0.895963
1500,0.299362,0.447713,0.742553,0.698693,0.768287,0.919865
2000,0.292138,0.49222,0.8348,0.816681,0.693759,0.866304
2500,0.449741,0.427157,0.737557,0.715806,0.785241,0.793335
3000,0.444158,0.464221,0.639471,0.577458,0.801878,0.905598
3500,0.389224,0.566997,0.825089,0.814714,0.707243,0.829179
4000,0.378294,0.380301,0.683927,0.657438,0.813225,0.756196
4500,0.30586,1.04966,0.791522,0.762932,0.761863,0.894206
5000,0.662239,0.42809,0.483419,0.393665,0.693865,0.940029
5500,0.290285,0.487507,0.807813,0.78823,0.745001,0.85382
6000,0.55248,0.38308,0.727265,0.675412,0.724953,0.920961
6500,0.363271,0.433827,0.835189,0.813672,0.720371,0.893542
7000,0.318538,0.468964,0.666581,0.61324,0.80927,0.886125
7500,0.426827,0.449372,0.545255,0.457468,0.813736,0.919253
8000,0.460534,0.431301,0.802037,0.772327,0.644802,0.928377
8500,0.372457,0.539536,0.821097,0.798403,0.680456,0.902993
9000,0.315735,0.438376,0.565307,0.482397,0.810276,0.930502
9500,0.254888,0.369094,0.656266,0.597322,0.815727,0.88084
10000,0.328837,0.457447,0.831219,0.811646,0.74477,0.878733
10500,0.406981,0.362903,0.861317,0.846084,0.605424,0.914855
11000,0.25692,0.392636,0.741073,0.699248,0.796773,0.904367
11500,0.318019,0.40268,0.774222,0.734354,0.738536,0.924913
12000,0.279838,0.670726,0.804984,0.772218,0.693776,0.929654
12500,0.683931,0.374854,0.688851,0.664209,0.786354,0.728314
13000,0.291402,0.575432,0.793321,0.760412,0.749839,0.898259
13500,0.387004,0.400448,0.631552,0.558127,0.740319,0.940201
14000,0.335815,0.491187,0.745861,0.698797,0.756974,0.929232
14500,0.427784,0.50024,0.583207,0.507513,0.780273,0.925234
15000,0.385629,0.384888,0.778969,0.746764,0.657614,0.872141
15500,0.597394,0.365745,0.692215,0.637326,0.794415,0.923738
15500,0.27576,0.386863,0.692215,0.637326,0.794415,0.923738
16000,0.266696,0.355644,0.859678,0.848294,0.670576,0.86639
16500,0.416459,0.321346,0.850873,0.843569,0.725274,0.841226
17000,0.238356,0.410487,0.870568,0.857109,0.680481,0.911815
17500,0.228524,0.869233,0.820557,0.791102,0.655588,0.925348
18000,0.289408,1.35969,0.555586,0.486223,0.659058,0.91611
18500,0.411187,0.409468,0.684452,0.660737,0.236624,0.917635
19000,0.312274,0.454611,0.877062,0.884187,0.65627,0.790978
19500,0.290514,0.426375,0.678865,0.642957,0.814896,0.81517
20000,0.260764,0.513979,0.819094,0.819377,0.747037,0.763874
20500,0.514841,0.360967,0.634153,0.562477,0.71767,0.945947
21000,0.274232,0.402349,0.784212,0.755558,0.726482,0.896616
21500,0.419105,0.39106,0.906426,0.910895,0.534581,0.887382
22000,0.32219,0.434328,0.883295,0.884896,0.650577,0.838349
22500,0.292117,0.360406,0.768276,0.746054,0.761075,0.814422
23000,0.33963,0.583425,0.831678,0.81452,0.736302,0.84731
23500,0.434884,0.423589,0.757392,0.743065,0.653053,0.84827
24000,0.313908,0.518602,0.823948,0.813941,0.706476,0.848128
24500,0.308174,0.347634,0.626892,0.558204,0.763209,0.941014
25000,0.222882,0.365562,0.767546,0.736683,0.784905,0.861009
25500,0.313157,0.357036,0.785832,0.766723,0.785425,0.829501
26000,0.292981,0.321632,0.879974,0.872519,0.651415,0.886614
26500,0.225123,0.442759,0.795757,0.764927,0.761094,0.896625
27000,0.327074,0.33316,0.788777,0.755825,0.669376,0.904841
27500,0.2362,0.390059,0.851288,0.837877,0.714215,0.883698
28000,0.622462,0.341143,0.818177,0.793814,0.694985,0.910858
28500,0.26263,0.481137,0.790364,0.756969,0.741768,0.898676
29000,0.308383,0.37326,0.706608,0.653836,0.693484,0.944204
29500,0.263529,0.430365,0.810882,0.78532,0.741631,0.881271
30000,0.395235,1.05422,0.69353,0.642542,0.742486,0.90925
30500,0.336987,0.322548,0.84778,0.94328,0.534684,0.247059
31000,0.549615,0.41353,0.789268,0.75852,0.770966,0.89333
31500,0.41318,0.534821,0.904569,0.906014,0.542973,0.912485
32000,0.360867,0.448047,0.864539,0.879405,0.628497,0.711247
32500,0.266503,0.379282,0.778186,0.766795,0.782054,0.762931
33000,0.254563,0.331341,0.87829,0.878164,0.667003,0.848981
33500,0.34165,0.324224,0.790253,0.756207,0.749102,0.895728
34000,0.327597,0.378868,0.837077,0.813958,0.725897,0.909066
34500,0.267184,0.410691,0.887707,0.890694,0.660393,0.841563
35000,0.398061,0.339143,0.702294,0.65696,0.787449,0.866488
35500,0.301197,0.340582,0.84728,0.828435,0.697222,0.899334
36000,0.409809,0.349684,0.815142,0.785838,0.719381,0.929086
36500,0.224783,0.375398,0.800649,0.779105,0.770671,0.851618
37000,0.257799,0.329245,0.83479,0.824279,0.737567,0.825117
37500,0.215208,0.413155,0.847354,0.825726,0.685884,0.912369
38000,0.332375,0.394722,0.847323,0.832113,0.607669,0.899296
38500,0.251103,0.426643,0.689848,0.624106,0.74217,0.940354
39000,0.368611,0.33398,0.703629,0.666072,0.814498,0.827876
39500,0.27759,0.361508,0.778443,0.740024,0.738056,0.925516
40000,0.398357,0.342892,0.852791,0.838109,0.674519,0.875035
40500,0.268783,1.01916,0.734137,0.685581,0.786466,0.906815
41000,0.363224,0.749051,0.559857,0.488354,0.440103,0.936466
41500,0.330891,0.434489,0.725503,0.759089,0.776459,0.390529
42000,0.280107,0.366477,0.781096,0.74658,0.630389,0.897209
42500,0.474342,0.385089,0.694532,0.637854,0.789139,0.925281
43000,0.301385,0.438749,0.66728,0.600914,0.797296,0.90911
43500,0.25141,0.520587,0.613307,0.543603,0.800992,0.878307
44000,0.269642,0.365233,0.753912,0.722635,0.638723,0.926876
44500,0.378662,0.583012,0.810445,0.791542,0.759083,0.854083
45000,0.304439,0.531862,0.604006,0.527781,0.674039,0.948989
45500,0.364731,0.354104,0.871592,0.906836,0.622637,0.655608
46000,0.369846,0.354445,0.813941,0.796313,0.750174,0.849511
46500,0.385815,2.29398,0.762708,0.717568,0.74536,0.911294
47000,0.320282,0.953301,0.414403,0.328035,0.230549,0.943483
47500,0.345309,0.35604,0.863798,0.956245,0.498318,0.356885
48000,0.255512,0.372407,0.834339,0.814871,0.731777,0.883365
48500,0.266399,0.329881,0.686925,0.632119,0.804696,0.894312
49000,0.239792,0.33493,0.836473,0.81518,0.722084,0.895453
49500,0.224978,0.368225,0.827723,0.805973,0.751901,0.870174
